Id,Full_Name,Medical_License_Number,Npi_Number,Specialty,Affiliation,Practice_Address,Email,Phone,Confidence_Score,Issue,Manual_Review
39,Dr. Kelly Harrell,FV454628,9499357246,Neurology,Sunrise Medical Center,"56611 Linda Manors, Johnsonfort, VI 35665",jonesjennifer@example.net,693-379-2523x6635,100,,Pending
40,Dr. Christopher Brooks,OO141742,8131568601,Pediatrics,Apollo Hospital,"060 Crawford Divide Suite 102, South Amy, NC 44953",znash@example.org,001-725-511-2409x83788,100,,Pending
41,Dr. Brian Hutchinson,PH952340,1309415256,Cardiology,LifeCare Clinic,"87470 Thomas Neck, Kelleyberg, NM 01169",bowmancharles@example.org,(424)565-4809,100,,Pending
42,Dr. Michael Blake,OM597217,6548030321,Neurology,LifeCare Clinic,"2307 Jason Wells, Jasminechester, MO 16647",randy13@example.org,(497)528-2895x880,100,,Pending
43,Dr. Jill Rodriguez,NY260909,8315741858,Neurology,City Hospital,"40875 Alexander Parkways, East Sean, TX 09357",ghernandez@example.com,(548)519-5962x8798,100,,Pending
44,Dr. Andrew Rogers,DY157035,5202775414,General Surgery,Sunrise Medical Center,"899 Orr Hollow, East Cassandra, FL 04765",bakerelizabeth@example.org,466.917.7277,100,,Pending
45,Dr. Bradley Harris,SG866420,1207264334,Cardiology,City Hospital,"69794 Moreno Underpass Suite 296, Kellyburgh, CA 16171",pdavis@example.net,409-552-2302x341,100,,Pending
46,Dr. John Thompson,MF553609,2756663870,Dermatology,Fortis Care,"301 Morris Camp, New Ericaview, ME 91142",steven53@example.com,+1-457-352-5873x649,100,,Pending
47,Dr. Darryl Oneill,PX652176,5555020761,Orthopedics,LifeCare Clinic,"806 Paul Glens Suite 932, New Randy, MD 82074",lgonzales@example.com,464.378.5183,100,,Pending
48,Dr. Barbara Scott,AI349594,3884622545,Psychiatry,Fortis Care,"Unit 4105 Box 3377, DPO AA 37627",jennifer63@example.com,(858)734-9842,100,,Pending
49,Dr. Michael Ortega,UZ409351,3861776480,Cardiology,Apollo Hospital,"54279 Alyssa Village Suite 438, East Ericville, ID 08097",hmorris@example.org,+1-685-854-5072x531,100,,Pending
50,Dr. Jerry Mckinney,ZN571974,3800504886,Orthopedics,LifeCare Clinic,"38825 Amanda Lane, West Christopher, ID 30111",sherrycastaneda@example.org,+1-532-948-3280x57258,100,,Pending
51,Dr. Valerie Kelley,TK852608,1143077945,Cardiology,Global Health Clinic,"027 Ford Glens, Johnsonberg, HI 19386",jack89@example.net,001-329-218-6288x24352,100,,Pending
52,Dr. Jordan Anderson,CJ645192,4510816921,General Surgery,Fortis Care,"21360 Santiago Curve Apt. 012, New Ruthbury, RI 78621",uleach@example.com,(940)473-3154x225,100,,Pending
53,Dr. Darren Williams,QQ449187,6579946753,Psychiatry,LifeCare Clinic,"USCGC Johnson, FPO AE 93457",joseph74@example.org,(546)263-6999x4656,100,,Pending
54,Dr. Adriana Elliott,HM795352,6768380921,Dermatology,Apollo Hospital,"Unit 3251 Box 0031, DPO AP 70396",williamskathryn@example.com,4028809836,100,,Pending
55,Dr. Jose Hoover,CH850311,7038422014,Orthopedics,Apollo Hospital,"5467 Karen Square, North Kevinmouth, NV 95500",velazquezmark@example.com,235-379-4161x279,100,,Pending
56,Dr. Karen Wolf,FX603198,3669507462,Neurology,Sunrise Medical Center,"989 Christina Oval, Lake Jonathanburgh, IN 34574",krodriguez@example.net,857-708-1705x346,100,,Pending
57,Dr. Robert Johnson,ZZ185553,1632008105,Neurology,City Hospital,"2276 Cameron Courts, West Jessicaview, MT 46728",jonesannette@example.net,+1-762-454-7735x5547,100,,Pending
58,Dr. Samantha Davis,HS131525,4834516575,Pediatrics,Sunrise Medical Center,"19879 Michele Manors, Annaberg, AK 55054",georgeeric@example.org,(864)819-6165x92713,100,,Pending
59,Dr. Christopher Montgomery,DL465965,8922538004,Radiology,City Hospital,"6103 Curry Station Apt. 239, Thomasfurt, UT 12622",weavertyler@example.net,9965673377,100,,Pending
60,Dr. Mckenzie Jones,JG690988,4571584043,Cardiology,Fortis Care,"44370 Jordan Isle Suite 167, Martinshire, GA 95455",tyler28@example.org,(304)830-6590x47770,100,,Pending
61,Dr. Gregory Cox,BM678713,3274840777,Cardiology,Global Health Clinic,"062 Flores Hill Apt. 806, Hayleyhaven, OR 23621",shammond@example.com,+1-510-445-5812x1286,100,,Pending
62,Dr. Jason Fisher,CM568165,1180067822,Neurology,Apollo Hospital,"10949 Stephanie Road, Lake Aprilhaven, ME 49975",ashleymartinez@example.org,+1-419-340-9485x31227,100,,Pending
63,Dr. Trevor Russell,RT819533,1832403605,Orthopedics,Apollo Hospital,"0013 Herman Mall Apt. 624, Traciburgh, AS 63950",jonesjames@example.com,595.282.9783x7496,100,,Pending
64,Dr. Rebecca Tucker,FV880023,2958168140,Psychiatry,Global Health Clinic,"2491 Anderson Manor, Lake Tiffanyton, SC 21283",darlene86@example.net,355.202.1475x01319,100,,Pending
65,Dr. Kevin Smith,BQ262969,8470154763,Radiology,Apollo Hospital,"951 Briana Parkway Apt. 370, West Timothy, AR 71831",pbradley@example.net,001-857-509-6581x3996,100,,Pending
66,Dr. Brenda Gomez,YL793041,8748395351,General Surgery,LifeCare Clinic,"8482 Li Garden, East Robert, CO 18295",haleylarry@example.net,715-752-6613x55790,100,,Pending
67,Dr. Paula Washington,KL367843,6148178773,Psychiatry,LifeCare Clinic,"7477 Tyler Prairie, Castanedahaven, MH 97497",cmorales@example.net,594.867.3560x90694,100,,Pending
68,Dr. Dustin Sherman,QF115959,3858834279,Psychiatry,LifeCare Clinic,"811 Patricia Spring Apt. 673, Carolynbury, VT 23534",stephensangela@example.org,7597788247,100,,Pending
69,Dr. Thomas Wood,GA241409,3420130651,Radiology,Fortis Care,"Unit 6317 Box 3064, DPO AA 98096",charleslee@example.com,(467)741-1854x7073,100,,Pending
70,Dr. Kathleen Watts,MW653980,2628480460,Pediatrics,Global Health Clinic,"9592 Walton Circle Suite 898, Lopezbury, CO 92320",amandavaldez@example.com,903.669.4998x626,100,,Pending
71,Dr. Nancy Willis,SE523646,2569910105,Cardiology,LifeCare Clinic,"795 Angie Parks Suite 639, North Frankport, CO 75623",michaelmckinney@example.org,001-398-215-2856,100,,Pending
72,Dr. Elizabeth Ingram,JJ502921,5358214344,Pediatrics,City Hospital,"5124 Brandon Estate, Kathrynside, MS 88968",meadowsjason@example.net,6787467940,100,,Pending
73,Dr. Michelle Davis,ZG660591,4449999729,Neurology,LifeCare Clinic,"472 Jacob Avenue Apt. 804, Heatherfort, AZ 53035",campbellcourtney@example.com,869-253-4791x8364,100,,Pending
74,Dr. Dana Holland,OR795573,3984133519,Neurology,Apollo Hospital,"072 Andrea Centers Suite 658, East James, OH 73390",baileymadison@example.net,+1-962-357-1244x106,100,,Pending
75,Dr. Patricia Sanchez,QF217302,2482544852,Psychiatry,Apollo Hospital,"Unit 1951 Box 8880, DPO AE 67005",kelly47@example.net,001-959-580-3899x063,100,,Pending
76,Dr. Scott Oneal,WY105197,7297450792,Orthopedics,Global Health Clinic,"096 Shirley Oval, Phillipsshire, GA 60219",whowell@example.net,+1-521-711-2303x7010,100,,Pending
77,Dr. Johnny Mcdonald,IK130747,5388131897,Radiology,Fortis Care,"6005 Katelyn Wells, Chelseaberg, VI 58067",nhiggins@example.org,2876467487,100,,Pending
78,Dr. Luis Martin,MF594496,2323013257,Psychiatry,Global Health Clinic,"987 Sara Rue, Brandonhaven, GA 03513",wlee@example.net,752.760.8949x3997,100,,Pending
79,Dr. Amanda Zuniga,QP729191,5196002317,Cardiology,Global Health Clinic,"72243 Baker Drives Suite 230, Acostaton, MP 37562",arieltorres@example.org,348.840.3545,100,,Pending
80,Dr. Rebecca Johnson,LJ190132,7486917303,Neurology,Apollo Hospital,"4491 Jesse Field Apt. 416, Martinezport, WY 54624",andersonalexis@example.org,(870)787-4568x6545,100,,Pending
81,Dr. Valerie Graham,PN820983,9474524978,Orthopedics,Global Health Clinic,"0562 Mccormick Freeway, Collinsmouth, KY 35489",brianwillis@example.net,(364)575-0439x185,100,,Pending
82,Dr. Larry Gonzalez,VE423409,8380485058,Psychiatry,Global Health Clinic,"2250 Anita Course Apt. 346, West Jennifer, CO 62305",xsullivan@example.com,923-981-1081x592,100,,Pending
83,Dr. Deanna Powell,UB985650,2480715273,Neurology,Global Health Clinic,"844 Jay Crescent, Wheelerchester, AZ 92845",kenneth77@example.net,402-460-8452x384,100,,Pending
84,Dr. Bryan Combs,NJ952385,3713602728,Radiology,Sunrise Medical Center,"72697 Hubbard Station, Walkertown, VT 12228",powellkelsey@example.net,001-399-429-6608x368,100,,Pending
85,Dr. Frank Wilson,LS423975,4703170250,Cardiology,Global Health Clinic,"523 Ashley Cliffs Suite 752, Port Josephshire, MN 33192",tracymiller@example.net,001-912-233-2264x6429,100,,Pending
86,Dr. Andrew Massey,XS116842,5737692500,Dermatology,Global Health Clinic,"683 Evan Divide Apt. 737, New Benjamin, CO 65367",hamiltonbrandy@example.com,+1-791-776-2032,100,,Pending
87,Dr. Michelle Reed,JI931965,5666805503,Psychiatry,Apollo Hospital,"396 Stacy Corners, Lake Tyrone, RI 72142",danieljohnson@example.org,+1-953-519-8538x9689,100,,Pending
88,Dr. Christina Brown,ZJ485735,8167021664,Dermatology,Global Health Clinic,"6125 Adams Hill Suite 043, Mcgeemouth, SD 72460",jefferyharris@example.com,258.468.0796,100,,Pending
89,Dr. Shannon Miller,CF505311,6645426061,General Surgery,Fortis Care,"68431 Dennis Lakes Suite 772, Lake Nicholasfort, NM 57425",hartmanwilliam@example.org,(912)423-9489,100,,Pending
90,Dr. Linda Jordan,QC329822,8053553130,Orthopedics,Fortis Care,"USCGC Castaneda, FPO AE 77514",jonathanmontoya@example.org,2966010797,100,,Pending
91,Dr. Christopher Campbell,EZ749056,8402175211,Orthopedics,Apollo Hospital,"0276 Mitchell Forks Suite 322, New Michaelville, NH 14092",stephanie04@example.org,7346932807,100,,Pending
92,Dr. Hunter Page,UW308309,8409067845,Orthopedics,Fortis Care,"Unit 2181 Box 8042, DPO AP 98547",lori84@example.org,545.213.5587x73192,100,,Pending
93,Dr. Brenda Fox,IF182809,7021531997,Radiology,Sunrise Medical Center,"098 William Pike Apt. 819, Barrettmouth, NY 40075",adamskirsten@example.org,441.889.9493x623,100,,Pending
94,Dr. Scott Martin,GO397525,9123111425,Neurology,Sunrise Medical Center,"86516 Oneal Turnpike Suite 712, Williamsport, MP 50759",jscott@example.com,001-947-855-1906x30765,100,,Pending
95,Dr. Jacqueline Chavez,OE348643,2435409443,Neurology,Fortis Care,"1056 Davis Drives Apt. 349, Lake Sherryburgh, AK 06440",deborah80@example.org,(220)580-0255x859,100,,Pending
96,Dr. Erika Mclean,ME272256,5803637270,Psychiatry,Sunrise Medical Center,"896 Kara Circles, Jasonstad, HI 68272",gonzalesdiane@example.com,520.539.2703,100,,Pending
97,Dr. Joseph Wood,HE757614,1550478570,Neurology,Global Health Clinic,"03372 Williams Keys Suite 247, South Benjaminberg, FM 56601",patricia83@example.org,946.799.0395x7422,100,,Pending
98,Dr. Kristin Rios,ZJ413491,5463024458,Radiology,Fortis Care,"5371 Mann Mews Suite 274, Garciahaven, VI 47606",carrollmichael@example.org,001-720-975-7331x910,100,,Pending
99,Dr. Eric Brown,JK784481,3263954993,General Surgery,Apollo Hospital,"225 Erica Estate Apt. 479, West Danielle, AZ 26875",rebeccareed@example.org,746.476.7061x2263,100,,Pending
100,Dr. Russell Reyes,AK873542,7034330180,General Surgery,Sunrise Medical Center,"2697 Wesley Squares Suite 298, Williamsville, MA 97141",james05@example.com,569-204-0026x488,100,,Pending
101,Dr. Preston Randolph,TX494322,8079038765,General Surgery,Sunrise Medical Center,"41476 Zamora Park Suite 691, North Stacy, MI 46435",kchavez@example.net,(400)345-5715x090,100,,Pending
102,Dr. James Davis,EK508759,8795149724,Radiology,Fortis Care,"79060 Brandi Estates Apt. 684, Lake Barbaraland, NH 23878",james58@example.net,384-318-1128,100,,Pending
103,Dr. Daniel Williamson,QQ284290,2612385891,Psychiatry,Fortis Care,"PSC 1382, Box 8373, APO AP 64312",anthonyandrews@example.org,836.618.2142x560,100,,Pending
104,Dr. Robert Garcia,CF237437,1649990582,Pediatrics,City Hospital,"809 Shelby Stravenue, Port Lisabury, VI 71568",mark37@example.com,686.475.0169,100,,Pending
105,Dr. Maria Smith,JO598032,7217348802,Orthopedics,Apollo Hospital,"854 Kenneth Gardens, South Melinda, NM 22732",parkereric@example.com,201-794-2779x7931,100,,Pending
106,Dr. Richard Watson,RK139265,2626803650,Neurology,Apollo Hospital,"36806 Parker Forest Apt. 621, West Shannonton, PW 75679",shuber@example.net,(741)450-7292x4731,100,,Pending
107,Dr. Laura Williamson,UW945508,7622353568,Orthopedics,Sunrise Medical Center,"2796 Bailey Freeway Apt. 736, New Lisa, OR 86326",alyssaedwards@example.net,808.900.2675x5833,100,,Pending
108,Dr. Jennifer Mcdonald,SQ306000,3761535983,Cardiology,Sunrise Medical Center,"716 Jonathan Parkway, Lake Valerie, IA 02881",ashleywilson@example.com,(743)963-9277x523,100,,Pending
109,Dr. Julia Johnson,ZB868588,2411748246,Psychiatry,Fortis Care,"PSC 6745, Box 3398, APO AE 43832",robertssuzanne@example.net,(312)271-7118x83492,100,,Pending
110,Dr. Ashley Jones,YA821926,4808852051,Psychiatry,Fortis Care,"Unit 8747 Box 1866, DPO AP 82665",johnsonandrew@example.org,(369)679-8099x852,100,,Pending
111,Dr. Bradley Shah,FO265952,7451151624,Psychiatry,Global Health Clinic,"916 Gregory Heights, New Lisashire, ME 58678",lynchjoseph@example.com,(921)570-7825x21578,100,,Pending
112,Dr. Roger Black,ZL472015,8755540288,Psychiatry,Apollo Hospital,"3470 Nicole Keys Apt. 614, East Denise, KY 22084",ishaw@example.net,780.940.0034,100,,Pending
113,Dr. Melissa Miller,LG733119,6478166357,Pediatrics,Global Health Clinic,"377 Morales Trafficway, New Brianhaven, VT 66846",adamcraig@example.org,(317)917-4944x8272,100,,Pending
114,Dr. Carlos Moody,EL450156,9364346832,Orthopedics,Fortis Care,"USCGC Young, FPO AE 79210",rkelley@example.net,504-229-3192x395,100,,Pending
115,Dr. Nancy Rodriguez,AL900667,6843618177,Radiology,Global Health Clinic,"08638 Maxwell Junctions, Andrewton, ND 33567",tfuller@example.com,(811)415-9501x3666,100,,Pending
116,Dr. Steven Rogers,ZF651586,5380892036,Radiology,City Hospital,"16780 Olson Path, Scottborough, CO 48631",kennethbrown@example.net,381.246.1785x63179,100,,Pending
117,Dr. Travis Larson,WI223368,6738507467,Radiology,City Hospital,"712 James Forks Apt. 722, North Russell, OR 11034",ramosdiane@example.org,4937534631,100,,Pending
118,Dr. Janet Miller,ZI167403,2490924964,Radiology,Apollo Hospital,"47785 Moore Drive, Brownburgh, NC 39922",hgamble@example.net,568.573.6993,100,,Pending
119,Dr. William Hall,CZ872352,1940010500,Neurology,Fortis Care,"577 Nicholas Shores, Port Hollytown, OK 10027",priscilla33@example.com,001-296-772-0574x04731,100,,Pending
120,Dr. David Harper,VR697037,9086919001,General Surgery,Apollo Hospital,"6591 White Parkways Suite 470, New Roberta, OK 26249",angela60@example.net,(392)904-9334x006,100,,Pending
121,Dr. Jill Gonzalez,QR202818,8267796950,Dermatology,Sunrise Medical Center,"2907 Christopher Court, Lunaberg, ME 66227",hailey21@example.org,+1-935-651-9871x622,100,,Pending
122,Dr. Margaret Martinez,OT745054,9256710616,Neurology,Sunrise Medical Center,"114 Smith Junction, Emilyview, MT 23916",donald99@example.com,383-543-6089x9646,100,,Pending
123,Dr. Brianna Johnson,HJ539973,9643264667,Psychiatry,LifeCare Clinic,"PSC 9997, Box 4019, APO AA 87470",zwoodward@example.com,(520)347-1954,100,,Pending
124,Dr. Jeffrey Miller,CO731250,3309178515,Pediatrics,Global Health Clinic,"26814 Sean Fords, Heatherchester, IA 87973",pgrant@example.com,982-476-8247x0291,100,,Pending
125,Dr. Kevin Flores,KE692933,3931030751,Neurology,Apollo Hospital,"5261 Crosby Fall, Lynnport, TX 26634",hfarrell@example.com,455-328-3160x55583,100,,Pending
126,Dr. Paul Brown,UB735657,2515826145,Pediatrics,LifeCare Clinic,"Unit 2113 Box 0358, DPO AE 78831",leahjones@example.org,460.258.3255x145,100,,Pending
127,Dr. Allison White,ZZ606861,9473019689,Orthopedics,LifeCare Clinic,"0508 Antonio Valley Apt. 095, New Juliebury, VA 61472",kelly01@example.net,480.771.5959x1133,100,,Pending
128,Dr. Justin Lindsey,BX263895,4617453134,Neurology,Fortis Care,"53144 Lisa Bridge Apt. 836, South Maria, WA 72561",mccoybradley@example.net,679-859-2409x1778,100,,Pending
129,Dr. Anthony Collins,XX690698,2401046272,Radiology,LifeCare Clinic,"1341 Reyes Knolls, Samuelview, HI 11882",walterkoch@example.org,884.696.1655x3952,100,,Pending
130,Dr. John Martinez,RT696310,6082071817,General Surgery,City Hospital,"6561 Russell Ramp, Lake Ryan, OK 58681",christinele@example.org,324-790-6003x316,100,,Pending
131,Dr. Jon Bailey,GF600485,5983149414,Psychiatry,City Hospital,"4422 Katrina Gateway Suite 471, West Lisa, SC 30587",clinton89@example.com,+1-472-367-9575x22826,100,,Pending
132,Dr. Erik Watts,JO787110,1322204184,Psychiatry,Apollo Hospital,"6083 April Dam, Janetchester, MT 83251",scottclark@example.net,3676244674,100,,Pending
133,Dr. Brenda Garcia,SG423603,8150612840,General Surgery,Global Health Clinic,"468 Robbins Point Suite 129, Benjamintown, MO 43677",garciaclaudia@example.net,7657046118,100,,Pending
134,Dr. Kelly Davis,SE182658,5490579191,General Surgery,Fortis Care,"6574 Kaiser Isle, New Jessica, VT 35130",kylesnyder@example.net,8037018263,100,,Pending
135,Dr. Sara Jennings,VQ777002,6209048986,Dermatology,LifeCare Clinic,"59448 Kenneth Hill, Staceyview, FL 60298",rebecca51@example.com,384-988-2456x20185,100,,Pending
136,Dr. Jose Miller,UF171304,6327878852,Pediatrics,Sunrise Medical Center,"661 Chavez Meadow Suite 664, North Jessica, PA 91389",xpetersen@example.org,+1-979-624-4864x29240,100,,Pending
137,Dr. Meghan Cobb,CZ635112,6497960816,Radiology,Fortis Care,"2924 Brewer Views Suite 679, Mcdonaldstad, KY 87794",john64@example.com,(706)330-3685,100,,Pending
138,Dr. Darren Kline,OK988704,3161950354,Psychiatry,Fortis Care,"47201 Donaldson Dam, East Carrieside, DC 23576",josephcook@example.com,438-840-1250x60171,100,,Pending
139,Dr. Jon Johnson,LQ219209,3498606344,Radiology,Global Health Clinic,"28187 Pena Expressway Suite 995, East Richardhaven, GA 38469",jamieedwards@example.net,+1-299-225-7178x1281,100,,Pending
140,Dr. Shelby Schmidt,QA411750,3444998262,Orthopedics,Sunrise Medical Center,"44853 Jonathan Vista, East James, IA 25888",spencerjamie@example.org,(483)450-9120x48554,100,,Pending
141,Dr. Michael Gallagher,GA904845,1746535908,Orthopedics,City Hospital,"60353 Christopher Center, West Steven, AZ 39921",caroline24@example.com,844.979.9369x4554,100,,Pending
142,Dr. Matthew Stanley,EP168823,5217053637,Pediatrics,Apollo Hospital,"6476 Conner Square Apt. 527, Greenhaven, SD 19604",sabrinaclark@example.com,798.726.5353x8319,100,,Pending
143,Dr. Rebecca Jackson,KY549553,8912100217,Dermatology,Sunrise Medical Center,"7461 Adams Manors Suite 439, New John, AS 02926",dixongregory@example.org,667-652-7249x98778,100,,Pending
144,Dr. Richard Scott,XB616168,1086813094,Psychiatry,Sunrise Medical Center,"1483 Caroline Knoll Apt. 896, West Marktown, WI 15916",emily55@example.com,(699)517-3395x2013,100,,Pending
145,Dr. Elizabeth Rivas,BY454253,9335439068,Dermatology,Global Health Clinic,"63866 Nelson Key Suite 545, Joneston, ND 78927",perezgloria@example.org,267.653.5953x944,100,,Pending
146,Dr. Courtney Roberts,ZQ370583,8402048332,Pediatrics,LifeCare Clinic,"010 Robin Mount Apt. 280, Simmonstown, KS 29776",fergusonjeffrey@example.net,001-756-346-5763,100,,Pending
147,Dr. Kathleen White,IU763576,1860557156,Pediatrics,City Hospital,"395 Diana Squares Suite 281, East Brookefurt, VA 98265",christina33@example.net,+1-515-821-3994x7493,100,,Pending
148,Dr. Erika Weaver,GU755461,2115806044,Neurology,Global Health Clinic,"946 Katherine Crossing, New Susanbury, WI 44558",eric54@example.org,818-530-1645x5585,100,,Pending
149,Dr. Bobby Doyle,DH948758,1932426321,Dermatology,LifeCare Clinic,"USNS Oconnor, FPO AE 57070",jeremiah10@example.com,353-304-7846x720,100,,Pending
